 A one-man musical phenomenon | Jacob Collier
 Carl Safina The oil spill's unseen culprits
 Hans Rosling Global population growth
 Nalini Nadkarni Life science in prison
 Ellen Gustafson Obesity + hunger = 1 global food issue
 Benoit Mandelbrot Fractals and the art of roughness
 Mitchell Joachim Don't build your home
 Carter Emmart demos a 3D atlas of the universe
 Stephen Palumbi Following the mercury trail
 Clay Shirky How cognitive surplus will change the world
 Ellen Dunham-Jones Retrofitting suburbia
 LEGO for grownups | Hillel Cooperman
 Aditi Shankardass A second opinion on learning disorders
 Charles Leadbeater Education innovation in the slums
 Marian Bantjes Intricate beauty by design
 Chip Conley Measuring what makes life worthwhile
 Ananda Shankar Jayant fights cancer with dance
 Cameron Herold Let's raise kids to be entrepreneurs
 Peter Tyack The intriguing sound of marine mammals
 Margaret Stewart How YouTube thinks about copyright
 The pattern behind self-deception | Michael Shermer
 How architecture helped music evolve | David Byrne
 Debate Does the world need nuclear energy?
 Rory Sutherland Sweat the small stuff
 John Kasaona How poachers became caretakers
 Michael Sandel The lost art of democratic debate
 Adam Sadowsky engineers a viral music video
 Why we need the explorers | Brian Cox
 The case for anonymity online | Christopher "moot" Poole
 Brian Skerry reveals ocean's glory -- and horror
 Pointing to the future of UI | John Underkoffler
 Lawrence Lessig Re-examining the remix
 Sophie Hunger plays songs of secrets
 Seth Berkley HIV and flu -- the vaccine strategy
 Sharmeen Obaid Chinoy Inside a school for suicide bombers
 Johanna Blakely Lessons from fashion's free culture
 Bring on the learning revolution! | Sir Ken Robinson
 Craig Venter unveils "synthetic life"
 Richard Sears Planning for the end of oil
 Dee Boersma Pay attention to penguins
 Why I'm a weekday vegetarian | Graham Hill
 Can we eat to starve cancer? | William Li
 Julia Sweeney has "The Talk"
 Math class needs a makeover | Dan Meyer
 Enric Sala Glimpses of a pristine ocean
 Nathan Myhrvold Could this laser zap malaria?
 Nicholas Christakis The hidden influence of social networks
 Eddi Reader sings "Kiteflyer's Hill"
 Thomas Dolby "Love Is a Loaded Pistol"
 Anil Gupta India's hidden hotbeds of invention
 Jeremy Jackson How we wrecked the ocean
 How great leaders inspire action | Simon Sinek
 Esther Duflo Social experiments to fight poverty
 Lies
 George Whitesides Toward a science of simplicity
 Roz Savage Why I'm rowing across the Pacific
 Computing a theory of everything | Stephen Wolfram
 Kavita Ramdas Radical women
 Omar Ahmad Political change with pen and paper
 Build a tower
 Frederick Balagadde Bio-lab on a microchip
 Homeopathy
 Edith Widder Glowing life in an underwater world
 Thelma Golden How art gives shape to cultural change
 Mike deGruy Hooked by an octopus
 Catherine Mohr builds green
 Jonathan Klein Photos that changed the world
 The danger of science denial | Michael Specter
 Natalie Merchant sings old poems to life
 Jonathan Drori Every pollen grain has a story
 Dennis Hong My 7 species of robot
 Dean Kamen The emotion behind invention
 Elizabeth Pisani Sex
 What adults can learn from kids | Adora Svitak
 How to start a movement | Derek Sivers
 Milton Glaser How great design makes ideas new
 Mathieu Lehanneur demos science-inspired design
 Shekhar Kapur We are the stories we tell ourselves
 Peter Eigen How to expose the corrupt
 Kirk Citron And now
 Shukla Bose Teaching one child at a time
 Kevin Bales How to combat modern slavery
 Robert Gupta Music is medicine
 Joel Levine Why we need to go back to Mars
 Alan Siegel Let's simplify legal jargon!
 Juliana Machado Ferreira The fight to end rare-animal trafficking in Brazil
 Science can answer moral questions | Sam Harris
 Ken Kamler Medical miracle on Everest
 Gaming can make a better world | Jane McGonigal
 Eric Dishman Take health care off the mainframe
 Mark Roth Suspended animation is within our grasp
 Eric Mead The magic of the placebo
 Dan Barber How I fell in love with a fish
 Gary Lauder's new traffic sign Take Turns
 Tim Berners-Lee The year open data went worldwide
 In the Internet age
 Before Avatar ... a curious boy | James Cameron
 Gary Flake is Pivot a turning point for web exploration?
 Harsha Bhogle The rise of cricket
 The riddle of experience vs. memory | Daniel Kahneman
 My 5 lives as an artist | Raghava KK
 TEDActive What the world needs now
 Pawan Sinha on how brains learn to see
 The world needs all kinds of minds | Temple Grandin
 Eric Topol The wireless future of medicine
 Philip Howard Four ways to fix a broken legal system
 Kevin Kelly tells technology's epic story
 Innovating to zero! | Bill Gates
 The opportunity of adversity | Aimee Mullins
 David Cameron The next age of government
 Blaise Aguera y Arcas demos augmented-reality maps
 Teach every child about food | Jamie Oliver
 Tom Shannon The painter and the pendulum
 David Agus A new strategy in the war against cancer
 George Whitesides A lab the size of a postage stamp
 Jamie Heywood The big idea my brother inspired
 Sendhil Mullainathan Solving social problems with a nudge
 Weird
 Jane Chen A warm embrace that saves lives
 Eve Ensler Embrace your inner girl
 Joshua Prince-Ramus Building a theater that remakes itself
 Bill Davenhall Your health depends on where you live
 Anthony Atala Growing new organs
 Ravin Agrawal 10 young Indian artists to watch
 How I held my breath for 17 minutes | David Blaine
 Charles Fleischer insists All things are Moleeds
 Lalitesh Katragadda Making maps to fight disaster
 Kiran Bir Sethi teaches kids to take charge
 Kartick Satyanarayan How we rescued the "dancing" bears
 Herbie Hancock's all-star set
 Romulus Whitaker The real danger lurking in the water
 Dan Buettner How to live to be 100+
 Nick Veasey Exposing the invisible
 The neurons that shaped civilization | VS Ramachandran
 Bertrand Piccard's solar-powered adventure
 Asher Hasan's message of peace from Pakistan
 Steven Cowley Fusion is energy's future
 Shaffi Mather A new way to fight corruption
 James Geary
 Charles Anderson discovers dragonflies that cross oceans
 Alexis Ohanian How to make a splash in social media
 Ryan Lobo Photographing the hidden story
 Loretta Napoleoni The intricate economics of terrorism
 Shereen El Feki Pop culture in the Arab world
 Thulasiraj Ravilla How low-cost eye care can be world-class
 Marc Pachter The art of the interview
 Rory Bremner's one-man world summit
 The fight against sex slavery | Sunitha Krishnan
 Talks Scott Kim takes apart the art of puzzles
 Anupam Mishra The ancient ingenuity of water harvesting
 Andrea Ghez The hunt for a supermassive black hole
 Make love
 Why nations should pursue "soft" power | Shashi Tharoor
 Gordon Brown on global ethic vs. national interest
 Mallika Sarabhai Dance to change the world
 Magnus Larsson Turning dunes into architecture
 Asia's rise -- how and when | Hans Rosling
 Rob Hopkins Transition to a world without oil
 Tom Wujec demos the 13th-century astrolabe
 East vs west -- the myths that mystify | Devdutt Pattanaik
 The thrilling potential of SixthSense technology | Pranav Mistry
 Cynthia Schneider The surprising spread of "Idol" TV
 Edward Burtynsky photographs the landscape of oil
 Rachel Pike The science behind a climate headline
 Cameron Sinclair The refugees of boom-and-bust
 Stefana Broadbent How the Internet enables intimacy
 Matthew White gives the euphonium a new voice
 Marcus du Sautoy Symmetry
 Becky Blanton The year I was homeless
 Rachel Armstrong Architecture that repairs itself?
 David Deutsch A new way to explain explanation
 Ian Goldin Navigating our global future
 Marc Koska 1.3m reasons to re-invent the syringe
 Itay Talgam Lead like the great conductors
 Paul Debevec animates a photo-real digital face
 John Gerzema The post-crisis consumer
 Julian Treasure The 4 ways sound affects us
 A brain in a supercomputer | Henry Markram
 Life lessons from an ad man | Rory Sutherland
 David Hanson Robots that "show emotion"
 New York -- before the City | Eric Sanderson
 Sam Martin The quirky world of "manspaces"
 Optical illusions show how we see | Beau Lotto
 The danger of a single story | Chimamanda Ngozi Adichie
 David Logan Tribal leadership
 Carolyn Steel How food shapes our cities
 Stefan Sagmeister The power of time off
 Garik Israelian What's inside a star?
 Tim Brown urges designers to think big
 Karen Armstrong Let's revive the Golden Rule
 Parag Khanna maps the future of countries
 Jacqueline Novogratz A third way to think about aid
 Taryn Simon photographs secret sites
 William Kamkwamba How I harnessed the wind
 Evgeny Morozov How the Internet strengthens dictatorships
 Jonathan Zittrain The Web as random acts of kindness
 Imogen Heap plays "Wait It Out"
 What hallucination reveals about our minds | Oliver Sacks
 John Lloyd inventories the invisible
 Bjarke Ingels 3 warp-speed architecture tales
 Misha Glenny investigates global crime networks
 Vishal Vaid's hypnotic song
 How we read each other's minds | Rebecca Saxe
 Lewis Pugh swims the North Pole
 James Balog Time-lapse proof of extreme ice loss
 Steve Truglia A leap from the edge of space
 Evan Grant Making sound visible through cymatics
 Hans Rosling's answers to the TED and Reddit community interview
 Geoff Mulgan Post-crash
 Josh Silver demos adjustable liquid-filled eyeglasses
 One seed at a time
 Natasha Tsakos' multimedia theatrical adventure
 Hans Rosling Let my dataset change your mindset
 Eric Giler demos wireless electricity
 The puzzle of motivation | Dan Pink
 Don't eat the marshmallow! | Joachim de Posada
 Nicholas Negroponte takes OLPC to Colombia
 Nina Jablonski breaks the illusion of skin color
 Olafur Eliasson Playing with space and light
 Emmanuel Jal The music of a war child
 Janine Benyus Biomimicry in action
 Paul Romer Why the world needs charter cities
 Michael Pritchard How to make filthy water drinkable
 Willard Wigan Hold your breath for micro-sculpture
 Elaine Morgan says we evolved from aquatic apes
 Golan Levin makes art that looks back at you
 A kinder
 Gordon Brown Wiring a web for global good
 Exploring the mind of a killer | Jim Fallon
 Daniel Kraft invents a better way to harvest bone marrow
 4 environmental 'heresies' | Stewart Brand
 Kary Mullis' next-gen cure for killer infection
 Sophal Ear Escaping the Khmer Rouge
 3 ways the brain creates meaning | Tom Wujec
 The design genius of Charles + Ray Eames
 Daniel Libeskind's 17 words of architectural inspiration
 Gever Tulley teaches life lessons through tinkering
 Arthur Benjamin Teach statistics before calculus!
 Katherine Fulton You are the future of philanthropy
 Ray Zahab treks to the South Pole
 Paul Collier's new rules for rebuilding a broken nation
 Philip Zimbardo The psychology of time
 Qi Zhang's electrifying organ performance
 Catherine Mohr Surgery's past
 How cults rewire the brain | Diane Benscoter
 Clay Shirky How cellphones
 Jane Poynter Life in Biosphere 2
 Nancy Etcoff Happiness and its surprises
 Richard St. John "Success is a continuous journey"
 Robert Full Learning from the gecko's tail
 John La Grou plugs smart power outlets
 Kevin Surace invents eco-friendly drywall
 Pete Alcorn on the world in 2200
 Felix Dennis' odes to vice and consequences
 Yann Arthus-Bertrand captures fragile Earth in wide-angle
 Ray Kurzweil A university for the coming singularity
 Liz Coleman's call to reinvent liberal arts education
 Kaki King rocks out to "Playing with Pink Noise"
 Jonathan Drori Why we're storing billions of seeds
 Michelle Obama's plea for education
 Jay Walker on the world's English mania
 The TED Fellows program
 Yves Behar's supercharged motorcycle design
 Carolyn Porco Could a Saturn moon harbor life?
 10 things you didn't know about orgasm | Mary Roach
 Are we in control of our decisions? | Dan Ariely
 Ray Anderson The business logic of sustainability
 Naturally 7 beatbox a whole band
 Nandan Nilekani's ideas for India's future
 Hans Rosling on HIV New facts and stunning data visuals
 Eric Lewis plays chaos and harmony
 The tribes we lead | Seth Godin
 Louise Fresco on feeding the whole world
 Al Gore Alarming new slides of the worsening climate crisis
 Tom Shannon's gravity-defying sculpture
 Mae Jemison on teaching arts and sciences together
 Sean Gourley on the mathematics of war
 Brian Cox What went wrong at the Large Hadron Collider
 Laurie Garrett What can we learn from the 1918 flu?
 One woman
 Michael Merzenich Growing evidence of brain plasticity
 Alex Tabarrok on how ideas trump crises
 Nate Silver How does race affect votes?
 Ben Katchor's comics of bygone New York
 Erik Hersman How texting helped Kenyans survive crisis
 Niels Diffrient Rethinking the way we sit down
 Margaret Wertheim The beautiful math of coral (and crochet)
 Matthew Childs' 9 life lessons from rock climbing
 Smash fear
 Demo Stunning data visualization in the AlloSphere
 Gregory Stock To upgrade is human
 Shai Agassi A new ecosystem for electric cars
 Renny Gleeson Busted! The sneaky moves of antisocial smartphone users
 A theory of everything | Emily Levine
 Bonnie Bassler The secret
 Bruce Bueno de Mesquita predicts Iran's future
 Nathaniel Kahn My father
 Military robots and the future of war | P.W. Singer
 Christopher Deam Restyling the classic Airstream trail
 Extreme wingsuit flying (The TEDTalk)
 Jacek Utko Can design save the newspaper?
 C.K. Williams Poetry for all seasons of life
 Why we have virus outbreaks & how we can prevent them | Nathan Wolfe
 The difference between winning and succeeding | John Wooden
 David Pogue Cool new things you can do with your mobile
 Jacqueline Novogratz on an escape from poverty
 Saul Griffith High-altitude wind energy from kites!
 How to grow fresh air | Kamal Meattle
 Bruce McCall Nostalgia for a future that never happened
 Adam Savage My obsession with objects and the stories they tell
 Why we think it's OK to cheat and steal (sometimes) | Dan Ariely
 Dan Dennett Cute
 Tim Berners-Lee The next Web of open
 Stuart Brown Play is more than fun
 It's not fair having 12 pairs of legs | Aimee Mullins
 Unveiling game-changing wearable tech | Pattie Maes
 The three ways that good design makes you happy | Don Norman
 Eric Lewis Striking chords to rock the jazz world
 Learning from dirty jobs | Mike Rowe
 Nalini Nadkarni explores canopy worlds
 Willie Smits How to restore a rainforest
 Brenda Laurel on making video games for girls
 Evan Williams on what's behind Twitter's explosive growth
 Making art of New York's urban ruins | Miru Kim
 Richard Pyle Exploring the reef's Twilight Zone
 Captain Charles Moore on the seas of plastic
 Ed Ulbrich How Benjamin Button got his face
 Jill Tarter Why the search for alien intelligence matters
 Sylvia Earle How to protect the oceans (TED Prize winner!)
 Incredible high school musicians from Venezuela! | Gustavo Dudamel
 The El Sistema music revolution | Jos̩ Antonio Abreu
 The next species of human | Juan Enriquez
 Barry Schwartz Our loss of wisdom
 David Merrill Toy tiles that talk to each other
 Your elusive creative genius | Elizabeth Gilbert
 Mosquitos
 Bill Gross Great ideas for finding new energy
 Playing the Cape Breton fiddle | Natalie MacMaster
 Joe DeRisi Hunting the next killer virus
 Aimee Mullins Changing my legs - and my mindset
 Earth's mass extinctions | Peter Ward
 Woody Norris Hypersonic sound and other inventions
 Sherwin Nuland A meditation on hope
 Barry Schuler An introduction to genomics
 Jamais Cascio Tools for building a better world
 David Carson Design
 Paula Scher Great design is serious (not solemn)
 Joseph Pine What consumers want
 Peter Reinhart The art of baking bread
 Scott McCloud Understanding comics
 Rob Forbes Ways of seeing
 Greg Lynn How calculus is changing architecture
 Paul Moller Take a ride in the Skycar
 Paul Sereno What can fossils teach us?
 John Maeda My journey in design
 Kary Mullis Celebrating the scientific experiment
 Jennifer 8. Lee Who was General Tso? and other mysteries of
 Steven Strogatz How things in nature tend to sync up
 Penelope Boston Life on Mars? Let's look in the caves
 Benjamin Wallace The price of happiness
 Why we make bad decisions | Dan Gilbert
 Jay Walker A library of human imagination
 Dennis vanEngelsdorp Where have the bees gone?
 A taste of TED@PalmSprings
 Eva Zeisel The playful search for beauty
 David Holt The stories and song of Appalachia
 Nick Sears Presenting the Orb
 Larry Burns Reinventing the car
 Philip Rosedale Second Life
 A taste of TED
 Richard Preston Climbing the world's biggest trees
 Gregory Petsko The coming neurological epidemic
 Andy Hobsbawm Do the green thing
 Dan Barber A surprising parable of foie gras
 Bill Joy What I'm worried about
 The design of the universe | George Smoot
 Franco Sacchi Welcome to Nollywood
 Isaac Mizrahi Fashion
 Stewart Brand Building a home for the Clock of the Long Now
 Ursus Wehrli Tidying up art
 Charles Elachi The story of the Mars Rovers
 Samantha Power Shaking hands with the devil
 Lee Smolin How science is like democracy
 Luca Turin The science of scent
 Tim Brown Tales of creativity and play
 Walk the earth ... my 17-year vow of silence | John Francis
 James Surowiecki The power and the danger of online crowds
 Graham Hawkes Fly the seas on a submarine with wings
